Business Area,Business Domain,Service Domain,API Title,API_Description
Operations and Execution,Corporate Finance,Mergers and Acquisitions Advisory,Mergers and Acquisitions Advisory,"This Service Domain handles mergers and acquisition, IPO, MBO and LBO projects with the bank acting in the lead and/or subordinate role"
Operations and Execution,Business Development,Lead and Opportunity Management,Lead and Opportunity Management,"This service domain captures, classifies and track sales lead/opportunities with established clients for additional products or services. It handles the processing of the opportunity through to the point of formal offer processing."
Operations and Execution,Payments,Payment Instruction,Payment Instruction,This Service Domain processes the pre-checks needed to confirm the necessary arrangements are in place and assemble and rout payment related requests received from third party payment services.
Operations and Execution,Card Products,Credit Card,Credit Card,This service domain orchestrates the scheduled maintenance and transactional activities associated with credit card product fulfillment
Risk and Compliance,Audit,Internal Audit,Internal Audit,Maintain and portfolio of internal audit checks. Select and execute a meaningful sample of checks and identify and resolve non-compliance
Risk and Compliance,Risk Management,Fraud Model,Fraud Model,"This service domain handles the design and maintenance of a portfolio of fraud models used across all production activity to detect potential fraud on the part of customers, merchants and other involved parties"
Operations and Execution,Wealth Management,Unit Trust Administration,Unit Trust Administration,This Service Domain handles the implementation and fulfillment of unit investment trusts
Reference Data,Bank Relations,Correspondent Bank Directory,Correspondent Bank Directory,This service domain maintains correspondent bank reference details. This includes correspondent bank payment parameters in particular bank limits and capturing transaction activity to track reciprocity
Operations and Execution,Wealth Management,eTrading Workbench,eTrading Workbench,This Service Domain supports consumer securities trading of their investment portfolio through the bank
Reference Data,Product and Price,Service Directory,Service Directory,This Service Domain presents a structured set of services that the customer can select from 
Reference Data,Party,Party Lifecycle Management,Party Lifecycle Management,This service domain tracks the state of a party relationship with the bank from the initial checks made during the establishment of a new party connection and subsequently maintained as necessary over the duration of the relationship. The checks and the maintenance requirements will vary by party type and jurisdiction. The checks cover bank specific and legal and regulatory considerations and may be updated based on a standard schedule or by request in specific circumstances.
Operations and Execution,Business Development,Product Expert Sales Support,Product Expert Sales Support,Administer the availability and allocation of product specialists to support sales activity
Operations and Execution,Channels,Advanced Voice Services Operations,Advanced Voice Services Operations,"This service domain operates the telephone channel infrastructure, including the IVR and any other automated devices as appropriate. This includes handling default routing rules and intra-day/session adjustments to deal with peak load or other operational variations"
Operations and Execution,Wealth Management,Investment Portfolio Analysis,Investment Portfolio Analysis,"Assess and report on investment portfolio make-up, valuation and performance"
Operations and Execution,Bank Relations,Contractor and Supplier Agreement,Contractor and Supplier Agreement,This Service Domain maintains appropriate supplier agreements/contracts
Operations and Execution,Business Development,Enterprise Architecture,Enterprise Architecture,Define and maintain comprehensive business architectural definitions/blueprints to help organize/direct the business
Operations and Execution,Customer Servicing,Case Root Cause Analysis,Case Root Cause Analysis,Root cause analysis business function reviews case reports to identify possible improvements to eliminate/mitigate servicing issues
Operations and Execution,Corporate Finance,Syndicate Management,Syndicate Management,This Service Domain manages syndicate membership and compliance
