repo_name,repo_description,file,api_title,api_description
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",MergersandAcquisitionsAdvisory.yaml,Mergers and Acquisitions Advisory,"This Service Domain handles mergers and acquisition, IPO, MBO and LBO projects with the bank acting in the lead and/or subordinate role"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",LeadandOpportunityManagement.yaml,Lead and Opportunity Management,"This service domain captures, classifies and track sales lead/opportunities with established clients for additional products or services. It handles the processing of the opportunity through to the point of formal offer processing."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PaymentInstruction.yaml,Payment Instruction,This Service Domain processes the pre-checks needed to confirm the necessary arrangements are in place and assemble and rout payment related requests received from third party payment services.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CreditCard.yaml,Credit Card,This service domain orchestrates the scheduled maintenance and transactional activities associated with credit card product fulfillment
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",InternalAudit.yaml,Internal Audit,Maintain and portfolio of internal audit checks. Select and execute a meaningful sample of checks and identify and resolve non-compliance
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",FraudModel.yaml,Fraud Model,"This service domain handles the design and maintenance of a portfolio of fraud models used across all production activity to detect potential fraud on the part of customers, merchants and other involved parties"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",UnitTrustAdministration.yaml,Unit Trust Administration,This Service Domain handles the implementation and fulfillment of unit investment trusts
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CorrespondentBankDirectory.yaml,Correspondent Bank Directory,This service domain maintains correspondent bank reference details. This includes correspondent bank payment parameters in particular bank limits and capturing transaction activity to track reciprocity
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",eTradingWorkbench.yaml,eTrading Workbench,This Service Domain supports consumer securities trading of their investment portfolio through the bank
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ServiceDirectory.yaml,Service Directory,This Service Domain presents a structured set of services that the customer can select from 
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PartyLifecycleManagement.yaml,Party Lifecycle Management,This service domain tracks the state of a party relationship with the bank from the initial checks made during the establishment of a new party connection and subsequently maintained as necessary over the duration of the relationship. The checks and the maintenance requirements will vary by party type and jurisdiction. The checks cover bank specific and legal and regulatory considerations and may be updated based on a standard schedule or by request in specific circumstances.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProductExpertSalesSupport.yaml,Product Expert Sales Support,Administer the availability and allocation of product specialists to support sales activity
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",AdvancedVoiceServicesOperations.yaml,Advanced Voice Services Operations,"This service domain operates the telephone channel infrastructure, including the IVR and any other automated devices as appropriate. This includes handling default routing rules and intra-day/session adjustments to deal with peak load or other operational variations"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",InvestmentPortfolioAnalysis.yaml,Investment Portfolio Analysis,"Assess and report on investment portfolio make-up, valuation and performance"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ContractorandSupplierAgreement.yaml,Contractor and Supplier Agreement,This Service Domain maintains appropriate supplier agreements/contracts
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",EnterpriseArchitecture.yaml,Enterprise Architecture,Define and maintain comprehensive business architectural definitions/blueprints to help organize/direct the business
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CaseRootCauseAnalysis.yaml,Case Root Cause Analysis,Root cause analysis business function reviews case reports to identify possible improvements to eliminate/mitigate servicing issues
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",SyndicateManagement.yaml,Syndicate Management,This Service Domain manages syndicate membership and compliance
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ITStandardsAndGuidelines.yaml,IT Standards And Guidelines,"Define and apply comprehensive IT architectures, policies and standards as appropriate. Also define the IT usage guidelines and procedures governing systems use across the enterprise"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CardClearing.yaml,Card Clearing,"This service domain orchestrates the capture and consolidation of card financial transactions originating from various sources, such as POS Network, E-Commerce Gateway, ATM Network, or Card Case Management. It also handles the clearing of the transactions from the Acquirers to the Issuers through the Card Networks"
